step,w0,w1,f(w),g(w),corrupted,method
30,0.6424036,1.6556969,0.24641982,0.29810047,True,GM_SGM_gross_corrupted
31,0.49240363,1.5056968,0.5019897,-0.0018996,True,GM_SGM_gross_corrupted
32,0.64468235,1.6539876,0.2459752,0.29867005,True,GM_SGM_gross_corrupted
33,0.49468237,1.5039877,0.5013741,-0.0013298988,True,GM_SGM_gross_corrupted
34,0.64627755,1.6527914,0.24567339,0.29906893,True,GM_SGM_gross_corrupted
35,0.4962775,1.5027915,0.5009526,-0.00093102455,True,GM_SGM_gross_corrupted
36,0.6473944,1.6519539,0.24546677,0.29934835,True,GM_SGM_gross_corrupted
37,0.4973944,1.501954,0.5006622,-0.000651598,True,GM_SGM_gross_corrupted
38,0.6481762,1.6513675,0.24532458,0.29954386,True,GM_SGM_gross_corrupted
39,0.4981764,1.5013673,0.50046146,-0.00045633316,True,GM_SGM_gross_corrupted
40,0.6487235,1.6509572,0.24522606,0.2996807,True,GM_SGM_gross_corrupted
